Cliente,ID,Gasto_Mensual,Estado_Seguro
Matias Nutria Rojo,840346X,548664,APROBADO
Lucho Condor Salvage,190050X,92990,APROBADO
Francisco Huemul Veloz,825867X,397453,APROBADO
Coty Gato Noble,223944X,118561,APROBADO
Maria Leon Salvage,265797X,563188,APROBADO
Maria Zorro Austral,663334X,683469,APROBADO
Matias Nutria Sigiloso,440269X,19241,APROBADO
Coty Condor Audaz,184763X,486575,APROBADO
Pancha Huemul Noble,555891X,895902,APROBADO
Coty Puma Sigiloso,801895X,349385,APROBADO
Coty Ballena Audaz,470871X,826343,APROBADO
Lucho Leon Gigante,801574X,207542,APROBADO
Juan Nutria Veloz,365743X,749904,APROBADO
Maria Huemul Veloz,601732X,584973,APROBADO
Pepe Gato Sigiloso,335902X,642015,APROBADO
Coty Perro Salvage,688568X,110823,APROBADO
Maria Ballena Rojo,568189X,592546,APROBADO
Matias Huemul Salvage,817405X,620316,APROBADO
Lucho Condor Audaz,478043X,362310,APROBADO
Sacha Perro Noble,211522X,656605,APROBADO
Pancha Zorro Austral,892818X,304904,APROBADO
Pepe Leon Audaz,966024X,49146,RECHAZADO (Riesgo Salud/Financiero)
Juan Leon Noble,238415X,340410,APROBADO
Sacha Condor Gigante,282019X,221701,RECHAZADO (Riesgo Salud/Financiero)
Maria Zorro Noble,834621X,618756,APROBADO
Pancha Puma Sigiloso,332494X,462551,RECHAZADO (Riesgo Salud/Financiero)
Francisco Gato Salvage,353767X,701124,APROBADO
Juan Condor Sigiloso,39216X,618377,APROBADO
Juan Ballena Veloz,597180X,294120,APROBADO
Pepe Gato Audaz,918483X,140615,RECHAZADO (Riesgo Salud/Financiero)
Juan Zorro Gigante,841461X,268266,RECHAZADO (Riesgo Salud/Financiero)
Sacha Perro Noble,344262X,327800,APROBADO
Francisco Huemul Noble,190126X,868545,APROBADO
Matias Gato Salvage,302831X,175924,APROBADO
Maria Puma Veloz,463453X,686777,APROBADO
Matias Perro Salvage,991005X,390872,RECHAZADO (Riesgo Salud/Financiero)
Sacha Ballena Austral,98207X,572700,RECHAZADO (Riesgo Salud/Financiero)
Maria Gato Sigiloso,640627X,828835,APROBADO
Maria Ballena Austral,385925X,827364,APROBADO
Pepe Zorro Sigiloso,278678X,547675,RECHAZADO (Riesgo Salud/Financiero)
Coty Gato Audaz,325641X,492748,APROBADO
Lucho Ballena Sigiloso,291577X,653907,APROBADO
Sacha Perro Salvage,136508X,359711,RECHAZADO (Riesgo Salud/Financiero)
Coty Ballena Rojo,864321X,404392,APROBADO
Lucho Ballena Audaz,337439X,503982,APROBADO
Lucho Puma Noble,206362X,412417,APROBADO
Maria Leon Veloz,393310X,71084,APROBADO
Juan Zorro Veloz,642763X,833714,RECHAZADO (Riesgo Salud/Financiero)
Francisco Zorro Rojo,238806X,393900,RECHAZADO (Riesgo Salud/Financiero)
Pancha Condor Rojo,324285X,179239,APROBADO
Juan Perro Noble,364899X,588227,APROBADO
Coty Gato Rojo,232401X,364709,APROBADO
Matias Leon Veloz,836910X,682195,APROBADO
Coty Perro Gigante,239863X,33614,APROBADO
Pancha Perro Sigiloso,729316X,162657,RECHAZADO (Riesgo Salud/Financiero)
Sacha Puma Audaz,872919X,199497,APROBADO
Juan Ballena Salvage,279488X,320976,APROBADO
Pancha Perro Noble,410682X,613850,APROBADO
Pepe Leon Rojo,546813X,350748,APROBADO
Coty Puma Austral,705393X,103154,RECHAZADO (Riesgo Salud/Financiero)
Matias Gato Gigante,197320X,405479,APROBADO
Lucho Nutria Salvage,462398X,98861,APROBADO
Maria Perro Audaz,489713X,635042,APROBADO
Maria Zorro Sigiloso,163853X,406093,RECHAZADO (Riesgo Salud/Financiero)
Pepe Huemul Veloz,103337X,31130,APROBADO
Pancha Leon Veloz,965227X,245936,APROBADO
Francisco Nutria Sigiloso,546224X,840938,APROBADO
Juan Nutria Gigante,8164X,57796,APROBADO
Matias Perro Gigante,953827X,880815,APROBADO
Pepe Nutria Salvage,463979X,666082,RECHAZADO (Riesgo Salud/Financiero)
Juan Gato Rojo,528360X,895216,APROBADO
Lucho Gato Noble,110880X,180093,APROBADO
Maria Zorro Salvage,890424X,55718,APROBADO
Pancha Zorro Austral,890452X,597252,APROBADO
Lucho Condor Rojo,881279X,711229,APROBADO
Pepe Gato Rojo,857612X,223095,RECHAZADO (Riesgo Salud/Financiero)
Matias Nutria Gigante,516448X,18931,APROBADO
Lucho Leon Audaz,94205X,155824,APROBADO
Coty Gato Veloz,952136X,569869,APROBADO
Sacha Puma Audaz,803764X,207204,APROBADO
Sacha Puma Audaz,147834X,812013,RECHAZADO (Riesgo Salud/Financiero)
Maria Condor Salvage,71915X,686662,APROBADO
Lucho Zorro Rojo,332552X,73837,APROBADO
Francisco Nutria Rojo,655818X,862785,APROBADO
Coty Leon Sigiloso,17178X,133533,APROBADO
Francisco Zorro Veloz,273341X,307467,APROBADO
Sacha Perro Sigiloso,590863X,262731,APROBADO
Pancha Gato Sigiloso,158068X,775010,RECHAZADO (Riesgo Salud/Financiero)
Coty Puma Rojo,252223X,739582,APROBADO
Maria Huemul Veloz,978383X,435641,APROBADO
Sacha Puma Sigiloso,252669X,69371,APROBADO
Pepe Condor Salvage,941201X,161311,RECHAZADO (Riesgo Salud/Financiero)
Francisco Puma Noble,666895X,471242,APROBADO
Sacha Gato Rojo,400664X,563604,APROBADO
Maria Leon Audaz,990912X,294519,RECHAZADO (Riesgo Salud/Financiero)
Maria Nutria Rojo,5263X,532875,APROBADO
Pepe Zorro Audaz,254858X,462554,APROBADO
Maria Nutria Sigiloso,366462X,641323,APROBADO
Juan Leon Rojo,726115X,484832,APROBADO
Pancha Leon Veloz,476438X,266673,APROBADO
Pancha Condor Noble,910548X,298661,RECHAZADO (Riesgo Salud/Financiero)
Juan Condor Sigiloso,310119X,670691,APROBADO
Juan Puma Gigante,434577X,810525,APROBADO
Pepe Huemul Rojo,316362X,225460,APROBADO
Pepe Gato Sigiloso,114101X,887992,RECHAZADO (Riesgo Salud/Financiero)
Pancha Puma Gigante,1726X,277391,APROBADO
Pepe Leon Gigante,927463X,90220,RECHAZADO (Riesgo Salud/Financiero)
Pancha Nutria Salvage,537250X,708632,RECHAZADO (Riesgo Salud/Financiero)
Francisco Huemul Sigiloso,32987X,480397,APROBADO
Juan Gato Rojo,14111X,115634,APROBADO
Juan Zorro Gigante,389259X,632190,APROBADO
Pepe Nutria Austral,510248X,612648,RECHAZADO (Riesgo Salud/Financiero)
Pepe Perro Sigiloso,582175X,665485,APROBADO
Coty Leon Sigiloso,161248X,206215,APROBADO
Maria Zorro Audaz,980854X,149851,APROBADO
Juan Perro Gigante,449784X,593629,APROBADO
Pepe Leon Noble,503079X,666323,APROBADO
Coty Nutria Gigante,922469X,355415,APROBADO
Lucho Perro Austral,570624X,543354,APROBADO
Pepe Nutria Veloz,846149X,711760,APROBADO
Juan Huemul Veloz,614056X,583979,RECHAZADO (Riesgo Salud/Financiero)
Pancha Zorro Audaz,132236X,306617,RECHAZADO (Riesgo Salud/Financiero)
Coty Huemul Gigante,943967X,693938,APROBADO
Matias Condor Salvage,164154X,670228,APROBADO
Pepe Leon Sigiloso,14006X,222601,APROBADO
Maria Gato Veloz,403672X,686272,RECHAZADO (Riesgo Salud/Financiero)
Francisco Huemul Sigiloso,559931X,196325,APROBADO
Juan Gato Austral,847452X,655158,RECHAZADO (Riesgo Salud/Financiero)
Juan Zorro Noble,127534X,160065,APROBADO
Pepe Leon Rojo,982701X,372395,APROBADO
Coty Gato Salvage,249901X,115106,APROBADO
Francisco Nutria Sigiloso,209725X,422723,APROBADO
Coty Nutria Austral,702850X,51177,APROBADO
Sacha Ballena Audaz,786998X,791940,APROBADO
Pepe Ballena Audaz,879220X,866857,APROBADO
Maria Condor Gigante,979317X,20297,APROBADO
Lucho Zorro Rojo,632694X,615118,APROBADO
Lucho Zorro Veloz,455019X,274251,APROBADO
Maria Gato Veloz,249531X,769123,APROBADO
Matias Huemul Rojo,767011X,423115,APROBADO
Francisco Nutria Gigante,368079X,543041,APROBADO
Lucho Condor Veloz,88792X,370961,APROBADO
Pepe Leon Noble,946120X,178818,APROBADO
Matias Huemul Austral,567574X,730146,RECHAZADO (Riesgo Salud/Financiero)
Sacha Huemul Noble,317134X,291677,APROBADO
Coty Condor Sigiloso,540216X,297473,APROBADO
Matias Huemul Audaz,600125X,466303,APROBADO
Francisco Gato Austral,89838X,612440,APROBADO
Maria Huemul Sigiloso,260164X,639710,APROBADO
Pancha Ballena Audaz,494280X,839675,APROBADO
Matias Gato Rojo,619797X,373269,RECHAZADO (Riesgo Salud/Financiero)
Francisco Condor Rojo,874296X,223142,APROBADO
Sacha Condor Noble,798527X,567688,APROBADO
Pancha Ballena Gigante,768991X,533891,APROBADO
Lucho Ballena Audaz,290477X,210458,APROBADO
Sacha Perro Salvage,799652X,74029,APROBADO
Maria Gato Gigante,484898X,467155,RECHAZADO (Riesgo Salud/Financiero)
Pepe Leon Rojo,192279X,388383,APROBADO
Lucho Perro Austral,971074X,309976,APROBADO
Francisco Nutria Rojo,664989X,539679,APROBADO
Juan Huemul Gigante,531583X,563655,APROBADO
Juan Puma Veloz,912729X,486093,APROBADO
Coty Leon Austral,441014X,289876,RECHAZADO (Riesgo Salud/Financiero)
Francisco Gato Noble,162902X,370283,RECHAZADO (Riesgo Salud/Financiero)
Sacha Perro Rojo,295671X,134386,RECHAZADO (Riesgo Salud/Financiero)
Coty Perro Austral,588463X,669021,APROBADO
Sacha Ballena Sigiloso,731759X,396727,APROBADO
Pepe Puma Veloz,483131X,616734,APROBADO
Pancha Leon Salvage,639371X,405818,APROBADO
Pancha Huemul Veloz,523434X,780857,APROBADO
Pancha Nutria Veloz,428494X,884271,APROBADO
Lucho Leon Noble,368685X,452737,RECHAZADO (Riesgo Salud/Financiero)
Coty Gato Gigante,886650X,145606,APROBADO
Sacha Perro Austral,784354X,183279,RECHAZADO (Riesgo Salud/Financiero)
Lucho Nutria Rojo,726283X,28390,APROBADO
Coty Zorro Noble,461592X,81201,APROBADO
Maria Ballena Gigante,318523X,510909,APROBADO
Francisco Puma Austral,319232X,648111,APROBADO
Coty Leon Gigante,934874X,803044,APROBADO
Pepe Condor Salvage,872630X,36955,APROBADO
Francisco Gato Gigante,491656X,644454,RECHAZADO (Riesgo Salud/Financiero)
Juan Ballena Gigante,702585X,338123,APROBADO
Maria Ballena Salvage,93643X,340361,APROBADO
Sacha Condor Veloz,588384X,647263,APROBADO
Juan Gato Gigante,868793X,557800,APROBADO
Pepe Zorro Noble,617884X,358014,APROBADO
Lucho Gato Audaz,442783X,571583,RECHAZADO (Riesgo Salud/Financiero)
Matias Ballena Audaz,139057X,866435,APROBADO
Matias Gato Noble,154999X,774842,APROBADO
Sacha Condor Rojo,924460X,553599,RECHAZADO (Riesgo Salud/Financiero)
Maria Nutria Austral,479026X,35268,RECHAZADO (Riesgo Salud/Financiero)
Coty Nutria Salvage,857447X,780375,APROBADO
Sacha Nutria Gigante,233547X,292542,APROBADO
Pancha Leon Salvage,975242X,760060,APROBADO
Francisco Gato Sigiloso,141339X,585400,RECHAZADO (Riesgo Salud/Financiero)
Matias Perro Veloz,853735X,677608,APROBADO
Coty Perro Rojo,217325X,204273,APROBADO
Juan Zorro Gigante,643357X,442757,APROBADO
Pepe Huemul Sigiloso,391903X,50323,APROBADO
Francisco Perro Rojo,302724X,68402,APROBADO
Lucho Leon Gigante,849397X,495874,APROBADO
Lucho Condor Sigiloso,216384X,146644,RECHAZADO (Riesgo Salud/Financiero)
Matias Nutria Sigiloso,811693X,822969,APROBADO
Francisco Huemul Gigante,516974X,509364,APROBADO
Pancha Puma Sigiloso,373213X,193778,APROBADO
Pancha Puma Rojo,673980X,156050,APROBADO
Sacha Gato Austral,653054X,574449,APROBADO
Matias Perro Sigiloso,706060X,806998,APROBADO
Francisco Ballena Salvage,958867X,55742,RECHAZADO (Riesgo Salud/Financiero)
Juan Zorro Rojo,447799X,616797,APROBADO
Pepe Condor Noble,198674X,267431,APROBADO
Lucho Leon Gigante,986371X,166469,RECHAZADO (Riesgo Salud/Financiero)
Sacha Puma Gigante,849484X,727252,APROBADO
Maria Gato Audaz,503997X,471664,APROBADO
Sacha Huemul Audaz,720203X,506102,RECHAZADO (Riesgo Salud/Financiero)
Matias Perro Rojo,440938X,890095,APROBADO
Pepe Ballena Rojo,186027X,194561,APROBADO
Coty Gato Noble,530275X,402868,APROBADO
Coty Huemul Salvage,547662X,578243,APROBADO
Pancha Huemul Noble,329038X,365549,APROBADO
Pepe Nutria Rojo,6385X,477002,RECHAZADO (Riesgo Salud/Financiero)
Pepe Perro Sigiloso,845033X,197039,APROBADO
Coty Ballena Veloz,334086X,95135,APROBADO
Francisco Nutria Rojo,919294X,414314,RECHAZADO (Riesgo Salud/Financiero)
Sacha Huemul Sigiloso,33907X,791866,APROBADO
Francisco Gato Sigiloso,587004X,775350,APROBADO
Sacha Gato Noble,841956X,373700,APROBADO
Francisco Zorro Austral,389899X,771795,APROBADO
Pancha Perro Veloz,604292X,636829,APROBADO
Juan Condor Sigiloso,516569X,37903,APROBADO
Pancha Gato Rojo,965454X,344202,RECHAZADO (Riesgo Salud/Financiero)
Matias Puma Sigiloso,342361X,850450,APROBADO
Lucho Gato Salvage,902287X,452459,APROBADO
Sacha Perro Audaz,885824X,876037,APROBADO
Francisco Zorro Veloz,803630X,723218,APROBADO
Matias Nutria Noble,690994X,102966,APROBADO
Francisco Puma Sigiloso,823254X,466085,APROBADO
Juan Condor Veloz,129447X,656938,APROBADO
Francisco Zorro Salvage,298891X,217933,APROBADO
Juan Zorro Noble,171115X,66318,APROBADO
Juan Perro Audaz,161839X,773585,APROBADO
Pepe Condor Gigante,272887X,57497,APROBADO
Maria Nutria Noble,700186X,528016,APROBADO
Francisco Gato Salvage,314108X,386190,APROBADO
Sacha Leon Rojo,68588X,376542,APROBADO
Juan Gato Veloz,453096X,429414,APROBADO
Juan Nutria Veloz,592718X,249429,RECHAZADO (Riesgo Salud/Financiero)
Francisco Leon Salvage,639297X,63518,RECHAZADO (Riesgo Salud/Financiero)
Francisco Condor Noble,403791X,727882,APROBADO
Sacha Perro Noble,360445X,101938,APROBADO
Lucho Zorro Noble,424859X,245670,APROBADO
Juan Gato Veloz,108469X,872071,APROBADO
Francisco Puma Sigiloso,355643X,357141,RECHAZADO (Riesgo Salud/Financiero)
Juan Nutria Noble,303683X,299702,RECHAZADO (Riesgo Salud/Financiero)
Lucho Ballena Rojo,880739X,301812,APROBADO
Sacha Condor Audaz,408338X,27548,RECHAZADO (Riesgo Salud/Financiero)
Maria Ballena Veloz,811431X,797591,APROBADO
Juan Ballena Gigante,740002X,559951,APROBADO
Pepe Nutria Sigiloso,276219X,165289,APROBADO
Matias Gato Austral,778220X,613865,APROBADO
Sacha Huemul Audaz,914089X,744088,APROBADO
Coty Leon Rojo,499408X,657675,APROBADO
Pancha Zorro Salvage,859493X,520142,APROBADO
Juan Perro Gigante,215937X,155044,APROBADO
Pepe Perro Sigiloso,185654X,405353,APROBADO
Francisco Zorro Austral,899224X,269312,APROBADO
Francisco Huemul Salvage,741600X,843187,APROBADO
Matias Leon Audaz,557919X,869556,APROBADO
Francisco Perro Salvage,490022X,58951,APROBADO
Sacha Leon Salvage,257726X,576993,APROBADO
Coty Gato Gigante,899225X,550513,RECHAZADO (Riesgo Salud/Financiero)
Matias Nutria Sigiloso,986785X,670579,RECHAZADO (Riesgo Salud/Financiero)
Coty Nutria Austral,377995X,578165,APROBADO
Sacha Perro Noble,871591X,457985,APROBADO
Coty Leon Noble,709922X,428920,RECHAZADO (Riesgo Salud/Financiero)
Juan Leon Austral,590662X,463416,APROBADO
Pepe Zorro Audaz,139922X,237197,APROBADO
Lucho Nutria Noble,462995X,827828,APROBADO
Maria Ballena Austral,715547X,881819,APROBADO
Juan Nutria Gigante,495327X,597551,APROBADO
Lucho Huemul Gigante,257720X,838229,RECHAZADO (Riesgo Salud/Financiero)
Francisco Huemul Audaz,414000X,814041,APROBADO
Pancha Huemul Audaz,160019X,395448,RECHAZADO (Riesgo Salud/Financiero)
Sacha Ballena Audaz,523937X,433038,RECHAZADO (Riesgo Salud/Financiero)
Maria Condor Salvage,869170X,879843,APROBADO
Coty Condor Audaz,567927X,349344,RECHAZADO (Riesgo Salud/Financiero)
Lucho Nutria Salvage,273644X,884924,APROBADO
Pepe Condor Gigante,750056X,243195,APROBADO
Matias Perro Veloz,701273X,459277,APROBADO
Sacha Huemul Sigiloso,682948X,244692,APROBADO
Maria Puma Noble,772234X,99374,APROBADO
Francisco Condor Audaz,620331X,665925,RECHAZADO (Riesgo Salud/Financiero)
Lucho Ballena Veloz,650414X,474872,APROBADO
Juan Condor Veloz,770662X,112819,APROBADO
Pepe Nutria Audaz,944983X,217344,RECHAZADO (Riesgo Salud/Financiero)
Maria Puma Noble,506180X,174042,APROBADO
Lucho Puma Rojo,702186X,58069,APROBADO
Maria Ballena Gigante,242744X,831025,APROBADO
Sacha Ballena Rojo,645667X,93158,APROBADO
Pepe Puma Audaz,262256X,594570,APROBADO
Pepe Zorro Veloz,113137X,860811,APROBADO
Francisco Leon Sigiloso,245447X,548012,RECHAZADO (Riesgo Salud/Financiero)
Matias Nutria Austral,888967X,365627,RECHAZADO (Riesgo Salud/Financiero)
Francisco Condor Gigante,485746X,304969,APROBADO
Coty Gato Noble,701964X,530610,RECHAZADO (Riesgo Salud/Financiero)
Francisco Condor Sigiloso,228087X,661860,APROBADO
Pancha Zorro Veloz,890157X,176375,APROBADO
Matias Huemul Salvage,800786X,88059,RECHAZADO (Riesgo Salud/Financiero)
Maria Zorro Rojo,680811X,193657,APROBADO
Juan Perro Austral,801790X,836334,APROBADO
Francisco Ballena Austral,156356X,305853,APROBADO
Juan Gato Sigiloso,506402X,785020,RECHAZADO (Riesgo Salud/Financiero)
Juan Leon Noble,560151X,129614,APROBADO
Lucho Gato Austral,552733X,179619,RECHAZADO (Riesgo Salud/Financiero)
Pepe Nutria Salvage,232172X,852791,RECHAZADO (Riesgo Salud/Financiero)
Sacha Condor Rojo,265560X,101954,APROBADO
Juan Nutria Rojo,181542X,825902,APROBADO
Juan Huemul Veloz,800337X,721910,APROBADO
Lucho Huemul Rojo,595777X,336564,APROBADO
Pancha Nutria Gigante,612769X,474129,RECHAZADO (Riesgo Salud/Financiero)
Maria Puma Austral,330557X,360144,APROBADO
Maria Gato Sigiloso,890419X,537766,RECHAZADO (Riesgo Salud/Financiero)
Sacha Nutria Audaz,153169X,218117,APROBADO
Matias Condor Sigiloso,99372X,413524,RECHAZADO (Riesgo Salud/Financiero)
Pancha Puma Rojo,706126X,432051,RECHAZADO (Riesgo Salud/Financiero)
Pancha Nutria Noble,126484X,266111,APROBADO
Sacha Huemul Austral,257172X,322410,APROBADO
Francisco Condor Audaz,614527X,611623,RECHAZADO (Riesgo Salud/Financiero)
Coty Puma Noble,979146X,83596,APROBADO
Matias Puma Noble,931471X,809435,APROBADO
Juan Gato Gigante,278875X,92216,RECHAZADO (Riesgo Salud/Financiero)
Coty Perro Gigante,565221X,586740,APROBADO
Pepe Ballena Austral,498590X,33070,APROBADO
Juan Ballena Salvage,625570X,218601,APROBADO
Francisco Zorro Noble,817208X,566853,APROBADO
Coty Perro Rojo,186670X,98148,APROBADO
Coty Condor Sigiloso,462393X,604691,APROBADO
Maria Perro Sigiloso,682556X,255659,RECHAZADO (Riesgo Salud/Financiero)
Coty Ballena Salvage,13991X,432552,RECHAZADO (Riesgo Salud/Financiero)
Pancha Perro Sigiloso,576666X,555804,APROBADO
Sacha Puma Noble,2439X,428818,APROBADO
Sacha Leon Gigante,39477X,334121,RECHAZADO (Riesgo Salud/Financiero)
Pancha Gato Rojo,710696X,633906,APROBADO
Pancha Condor Austral,207403X,667283,APROBADO
Maria Leon Sigiloso,798605X,462040,RECHAZADO (Riesgo Salud/Financiero)
Lucho Condor Sigiloso,708366X,374200,RECHAZADO (Riesgo Salud/Financiero)
Francisco Perro Veloz,830352X,769452,APROBADO
Pepe Perro Gigante,735383X,815899,RECHAZADO (Riesgo Salud/Financiero)
Sacha Puma Veloz,604503X,388748,APROBADO
Coty Huemul Gigante,150154X,350220,APROBADO
Pancha Condor Rojo,168029X,459137,APROBADO
Juan Gato Salvage,164212X,262312,APROBADO
Sacha Huemul Austral,218914X,684184,APROBADO
Pepe Perro Austral,569576X,837090,RECHAZADO (Riesgo Salud/Financiero)
Lucho Nutria Salvage,326968X,456017,APROBADO
Coty Leon Salvage,297994X,536117,APROBADO
Coty Huemul Veloz,735496X,652700,RECHAZADO (Riesgo Salud/Financiero)
Maria Gato Rojo,398611X,745352,APROBADO
Coty Perro Veloz,451946X,702363,APROBADO
Pancha Perro Gigante,959984X,435747,APROBADO
Pepe Huemul Sigiloso,265946X,285089,APROBADO
Pancha Gato Gigante,826437X,884228,APROBADO
Francisco Nutria Salvage,652890X,463186,APROBADO
Coty Nutria Noble,759708X,615253,APROBADO
Coty Gato Sigiloso,588330X,203544,APROBADO
Francisco Leon Gigante,850727X,442438,RECHAZADO (Riesgo Salud/Financiero)
Pancha Condor Noble,17822X,753525,RECHAZADO (Riesgo Salud/Financiero)
