Propietario,ID_Asociado,Modelo_Robot,Datos_Biometricos,Grabacion_Activa,Cifrado_Punto_a_Punto,Alerta_Sesgo_Algoritmico,Integracion_Holding
Juan Zorro Salvage,354229X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Lucho Puma Salvage,934599X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Lucho Zorro Sigiloso,901611X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Matias Ballena Audaz,605609X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Pancha Perro Salvage,386694X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Coty Gato Gigante,455034X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Matias Nutria Austral,898862X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Pancha Ballena Rojo,374004X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Lucho Leon Veloz,454622X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Juan Leon Veloz,675433X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Juan Condor Audaz,438030X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Francisco Leon Noble,106839X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Pancha Perro Gigante,313393X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Maria Gato Noble,338093X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Juan Huemul Sigiloso,914082X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Pepe Gato Salvage,585646X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Coty Huemul Austral,707247X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Coty Puma Noble,982273X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Francisco Condor Veloz,565560X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Maria Perro Austral,489913X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Lucho Leon Austral,801608X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Pancha Ballena Salvage,927769X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Pancha Huemul Veloz,769239X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Pepe Gato Sigiloso,686712X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Francisco Perro Audaz,570410X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Coty Nutria Salvage,57039X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Lucho Nutria Gigante,162835X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Pepe Perro Audaz,200589X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Pepe Gato Salvage,915561X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Francisco Leon Audaz,291182X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Coty Leon Sigiloso,192036X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Pancha Perro Veloz,710709X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Juan Gato Gigante,869046X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Pancha Leon Rojo,644712X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Juan Nutria Audaz,464260X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Pepe Puma Veloz,134001X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Pancha Leon Audaz,405368X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Francisco Ballena Sigiloso,651818X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Maria Leon Sigiloso,54771X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Francisco Ballena Gigante,882708X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Coty Leon Sigiloso,726679X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Pepe Huemul Sigiloso,457671X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Juan Condor Gigante,766630X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Juan Condor Austral,234867X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Lucho Perro Noble,998276X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Sacha Condor Salvage,470740X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Pepe Puma Gigante,483873X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Juan Puma Salvage,413335X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Juan Perro Salvage,992454X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Pepe Leon Austral,369433X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Maria Nutria Rojo,24848X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Maria Condor Noble,385234X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Pepe Ballena Audaz,217541X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Sacha Perro Austral,323590X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Pancha Condor Sigiloso,828476X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Coty Zorro Veloz,702934X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Lucho Zorro Veloz,903524X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Francisco Gato Audaz,914853X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Matias Condor Rojo,628885X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Sacha Leon Austral,893470X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Pancha Ballena Gigante,156614X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Lucho Huemul Austral,207231X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Pepe Perro Noble,974703X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Maria Ballena Rojo,612507X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Pepe Leon Gigante,466283X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Maria Gato Rojo,848185X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Pancha Condor Salvage,416034X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Coty Condor Rojo,650155X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Lucho Nutria Audaz,688918X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Lucho Huemul Gigante,518970X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Matias Huemul Gigante,365862X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Pancha Leon Gigante,489144X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Sacha Gato Audaz,125894X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Sacha Nutria Gigante,244470X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Sacha Perro Sigiloso,958025X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Pepe Puma Sigiloso,516213X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Pancha Leon Audaz,548807X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Pancha Gato Veloz,124026X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Sacha Huemul Audaz,525306X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Sacha Zorro Sigiloso,747427X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Pepe Huemul Austral,901880X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Lucho Leon Rojo,524950X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Maria Huemul Audaz,867674X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Coty Nutria Salvage,850814X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Sacha Leon Salvage,694295X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Matias Ballena Sigiloso,856409X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Matias Nutria Rojo,840346X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Lucho Condor Salvage,190050X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Francisco Huemul Veloz,825867X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Coty Gato Noble,223944X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Maria Leon Salvage,265797X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Maria Zorro Austral,663334X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Matias Nutria Sigiloso,440269X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Coty Condor Audaz,184763X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Pancha Huemul Noble,555891X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Coty Puma Sigiloso,801895X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Coty Ballena Audaz,470871X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Lucho Leon Gigante,801574X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Juan Nutria Veloz,365743X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Maria Huemul Veloz,601732X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Pepe Gato Sigiloso,335902X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Coty Perro Salvage,688568X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Maria Ballena Rojo,568189X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Matias Huemul Salvage,817405X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Lucho Condor Audaz,478043X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Sacha Perro Noble,211522X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Pancha Zorro Austral,892818X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Pepe Leon Audaz,966024X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Juan Leon Noble,238415X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Sacha Condor Gigante,282019X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Maria Zorro Noble,834621X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Pancha Puma Sigiloso,332494X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Francisco Gato Salvage,353767X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Juan Condor Sigiloso,39216X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Juan Ballena Veloz,597180X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Pepe Gato Audaz,918483X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Juan Zorro Gigante,841461X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Sacha Perro Noble,344262X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Francisco Huemul Noble,190126X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Matias Gato Salvage,302831X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Maria Puma Veloz,463453X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Matias Perro Salvage,991005X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Sacha Ballena Austral,98207X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Maria Gato Sigiloso,640627X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Maria Ballena Austral,385925X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Pepe Zorro Sigiloso,278678X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Coty Gato Audaz,325641X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Lucho Ballena Sigiloso,291577X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Sacha Perro Salvage,136508X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Coty Ballena Rojo,864321X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Lucho Ballena Audaz,337439X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Lucho Puma Noble,206362X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Maria Leon Veloz,393310X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Juan Zorro Veloz,642763X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Francisco Zorro Rojo,238806X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Pancha Condor Rojo,324285X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Juan Perro Noble,364899X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Coty Gato Rojo,232401X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Matias Leon Veloz,836910X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Coty Perro Gigante,239863X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Pancha Perro Sigiloso,729316X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Sacha Puma Audaz,872919X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Juan Ballena Salvage,279488X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Pancha Perro Noble,410682X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Pepe Leon Rojo,546813X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Coty Puma Austral,705393X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Matias Gato Gigante,197320X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Lucho Nutria Salvage,462398X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Maria Perro Audaz,489713X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Maria Zorro Sigiloso,163853X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Pepe Huemul Veloz,103337X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Pancha Leon Veloz,965227X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Francisco Nutria Sigiloso,546224X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Juan Nutria Gigante,8164X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Matias Perro Gigante,953827X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Pepe Nutria Salvage,463979X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Juan Gato Rojo,528360X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Lucho Gato Noble,110880X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Maria Zorro Salvage,890424X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Pancha Zorro Austral,890452X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Lucho Condor Rojo,881279X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Pepe Gato Rojo,857612X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Matias Nutria Gigante,516448X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Lucho Leon Audaz,94205X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Coty Gato Veloz,952136X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Sacha Puma Audaz,803764X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Sacha Puma Audaz,147834X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Maria Condor Salvage,71915X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Lucho Zorro Rojo,332552X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Francisco Nutria Rojo,655818X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Coty Leon Sigiloso,17178X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Francisco Zorro Veloz,273341X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Sacha Perro Sigiloso,590863X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Pancha Gato Sigiloso,158068X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Coty Puma Rojo,252223X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Maria Huemul Veloz,978383X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Sacha Puma Sigiloso,252669X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Pepe Condor Salvage,941201X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Francisco Puma Noble,666895X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Sacha Gato Rojo,400664X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Maria Leon Audaz,990912X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Maria Nutria Rojo,5263X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Pepe Zorro Audaz,254858X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Maria Nutria Sigiloso,366462X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Juan Leon Rojo,726115X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Pancha Leon Veloz,476438X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Pancha Condor Noble,910548X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Juan Condor Sigiloso,310119X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Juan Puma Gigante,434577X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Pepe Huemul Rojo,316362X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Pepe Gato Sigiloso,114101X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Pancha Puma Gigante,1726X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Pepe Leon Gigante,927463X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Pancha Nutria Salvage,537250X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
