Propietario,ID_Asociado,Modelo_Robot,Datos_Biometricos,Grabacion_Activa,Cifrado_Punto_a_Punto,Alerta_Sesgo_Algoritmico,Integracion_Holding
Usuario 85,4587X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 86,5577X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 87,1582X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 88,5960X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 89,5254X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 90,8727X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 91,2435X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 92,3553X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 93,4735X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 94,6977X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 95,3795X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 96,9949X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 97,3181X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 98,8409X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 99,9836X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 100,9873X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 101,1086X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 102,4046X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 103,2705X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 104,7342X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 105,1975X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 106,1733X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 107,7738X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 108,3724X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 109,8287X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 110,9826X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 111,7666X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 112,2573X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 113,5122X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 114,3746X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 115,5833X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 116,8246X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 117,2807X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 118,3824X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 119,9520X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 120,6160X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 121,9971X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 122,3502X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 123,1136X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 124,8813X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 125,4334X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 126,1516X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 127,3438X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 128,1646X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 129,9089X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 130,5673X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 131,1257X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 132,8275X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 133,6349X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 134,9082X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 135,9592X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 136,7991X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 137,8682X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 138,7510X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 139,1898X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 140,8590X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 141,7057X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 142,5269X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 143,4970X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 144,7912X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 145,9272X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 146,7047X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 147,2907X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 148,8726X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 149,9399X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 150,8522X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 151,5286X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 152,1652X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 153,1153X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 154,7167X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 155,7079X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 156,7502X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 157,5766X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 158,9891X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 159,1951X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 160,9841X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 161,8205X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 162,8997X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 163,1596X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 164,8280X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 165,4388X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 166,7207X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 167,6536X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 168,3180X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 169,7866X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 170,5740X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 171,8536X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 172,3507X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 173,4117X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 174,9658X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 175,4320X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 176,3275X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 177,7100X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 178,4499X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 179,2510X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 180,5388X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 181,2655X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 182,3347X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 183,4508X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 184,9672X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 185,7747X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 186,5339X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 187,8385X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 188,3451X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 189,3371X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 190,5475X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 191,1395X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 192,8953X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 193,5590X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 194,1572X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 195,5660X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 196,8218X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 197,9480X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 198,9973X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 199,7858X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 200,3947X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 201,7348X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 202,9655X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 203,1679X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 204,8986X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 205,5561X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 206,9216X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 207,2343X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 208,7976X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 209,5195X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 210,7500X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 211,6155X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 212,3930X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 213,7097X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 214,3578X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 215,6251X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 216,3083X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 217,9848X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 218,5787X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 219,8226X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 220,4515X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 221,1302X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 222,7767X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 223,9322X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 224,2228X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 225,3499X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 226,5311X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 227,4550X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 228,8095X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 229,2365X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 230,2632X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 231,2537X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 232,6291X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 233,5707X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 234,1086X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 235,2193X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 236,9552X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 237,2192X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 238,2515X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 239,1911X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 240,6272X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 241,1528X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 242,7434X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
